AÑO,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,UBIGEO,DOMINIO,ESTRATO,CODINFOR,P317,P318,P319,P319A,P320,P203,P204,P205,P206,P207,P208,P209,IMPUTADO,TICUEST01A,CUESTIONARIOREDUCIDO,TIPOENTREVISTA,FACTOR07,FACTOR_P,NCONGLOME,SUB_CONGLOME
2020,01,007424,110,11,03,140119,1,5,01,1,1,2, , ,3,1,2, ,2,8, , ,2,0,1,304.3227735623,560.951766783664,004258,00
2020,01,007424,130,11,04,140119,1,5,01,1,1,1,3,1,3,1,2, ,2,10, , ,2,0,1,304.3227735623,560.951766783664,004258,00
2020,01,007442,375,11,04,140301,1,7,02,1,1,2, , ,3,1,2, ,1,8, , ,2,0,1,107.939781818261,247.458978842111,002948,00
2020,01,007460,058,11,03,140308,1,7,02,1,1,2, , ,3,1,2, ,1,8, , ,2,0,1,107.939781818261,247.458978842111,003149,00
2020,01,007460,134,11,05,140308,1,7,02,1,1,1,99,4,3,1,2, ,1,8, , ,2,0,1,107.939781818261,247.458978842111,003149,00
2020,01,007488,056,22,03,150106,8,1,01,1,1,2, , ,3,1,2, ,1,9, , ,2,0,1,1338.47264419073,2822.78084506642,047040,00
2020,01,007492,212,11,02,150106,8,1,01,1,2, , , ,3,1,2, ,2,9, , ,2,0,1,1214.99552818611,2572.53577818234,018988,00
2020,01,007535,079,11,06,150135,8,1,01,1,1,2, , ,3,1,2, ,2,10, , ,2,0,1,767.363841923623,1698.90167531328,020125,00
2020,01,007535,150,11,04,150135,8,1,02,1,1,1,12,1,3,1,2, ,1,10, , ,2,0,1,767.363841923623,1698.90167531328,020125,00
2020,01,007567,113,11,03,150110,8,1,01,1,1,1,5,4,3,1,2, ,2,9, , ,2,0,1,1227.8486549772,2807.64452036791,020963,00
2020,01,007568,023,11,06,150110,8,1,02,2,1,1,12,6,3,1,2, ,1,7, , ,2,0,1,696.572799209227,1548.29070453554,020980,00
2020,01,007582,044,11,04,150112,8,1,02,1,2, , , ,5,1,2, ,1,9, , ,2,0,1,1214.99552818611,2572.53577818234,021424,00
2020,01,007730,044,11,03,150101,8,1,01,2,2, , , ,3,1,2, ,1,9, , ,2,0,1,1214.99552818611,2572.53577818234,025041,00
2020,01,007769,006,11,03,150136,8,1,01,1,2, , , ,3,1,2, ,1,9, , ,2,0,1,395.758016766862,1073.13489052398,025547,00
2020,01,007812,056,11,03,150115,8,1,02,1,2, , , ,3,1,2, ,2,7, , ,2,0,1,641.124218177647,1415.0298619793,026057,00
2020,01,007925,062,11,03,150142,8,1,01,1,1,1,99,1,3,1,2, ,2,7, , ,2,0,1,1214.99552818611,2572.53577818234,028309,00
2020,01,007949,014,11,03,150143,8,1,01,1,1,1,12,1,5,1,2, ,1,9, , ,2,0,1,527.971526298132,1132.58202124945,028995,00
2020,01,007950,163,11,03,150143,8,1,01,1,2, , , ,3,1,2, ,1,8, , ,2,0,1,767.363841923623,1698.90167531328,029030,00
2020,01,007970,056,11,06,150123,8,1,01,1,1,2, , ,3,1,2, ,2,9, , ,2,0,1,1227.8486549772,2807.64452036791,029633,00
2020,01,007980,100,11,03,150202,2,4,01,1,1,2, , ,3,1,2, ,2,9, , ,2,0,1,232.618799320648,490.196824642506,016330,00
2020,01,007985,021,11,04,150203,2,4,02,1,1,1,12,4,5,1,2, ,2,9, , ,2,0,1,232.618799320648,490.196824642506,016383,00
2020,01,007985,066,11,05,150203,2,4,02,1,1,1,99,5,5,1,2, ,2,8, , ,2,0,1,232.618799320648,490.196824642506,016383,00
2020,01,007987,022,11,05,150201,2,3,02,1,1,1,99,3,3,1,2, ,2,8, , ,2,0,1,240.437711501505,584.222854314242,016392,00
2020,01,008006,065,11,02,150801,2,2,01,1,1,1,6,7,3,1,2, ,2,10, , ,2,0,1,207.802772826649,434.312732342081,016556,00
2020,01,008034,072,11,03,150812,2,5,01,1,1,1,12,1,3,1,2, ,2,9, , ,2,0,1,270.706440564367,649.373657354295,016799,00
2020,01,008034,102,11,04,150812,2,5,01,1,1,1,12,1,3,1,2, ,1,9, , ,2,0,1,270.706440564367,649.373657354295,016799,00
2020,01,008036,113,11,03,150812,2,5,01,1,1,1,10,4,3,1,2, ,2,8, , ,2,0,1,267.250613663545,649.373657354295,016804,00
2020,01,008036,137,11,05,150812,2,5,01,1,1,1,10,4,3,1,2, ,1,8, , ,2,0,1,267.250613663545,649.373657354295,016804,00
2020,01,008056,099,11,04,150601,2,3,02,1,1,2, , ,3,1,2, ,2,8, , ,2,0,1,266.882082898582,648.478191386957,017066,00
